split_num,train_start,train_end,test_start,test_end,train_samples,train_accuracy,trades,win_rate,total_return,sharpe_ratio,max_drawdown,profit_factor,avg_win,avg_loss
1,2020-12-28 00:00:00,2021-12-27 00:00:00,2021-12-28 00:00:00,2022-03-28 00:00:00,252,0,4,0.0,-0.23875313186370478,-15.796336894712024,0.26388744694043276,0.0,0.0,5.968828296592553
2,2021-03-30 00:00:00,2022-03-28 00:00:00,2022-03-29 00:00:00,2022-06-28 00:00:00,252,0,3,0.0,-0.207099360790271,-17.06130782077462,0.21373163162188577,0.0,0.0,6.9033120263419745
3,2021-06-29 00:00:00,2022-06-28 00:00:00,2022-06-29 00:00:00,2022-09-27 00:00:00,252,0,3,0.0,-0.2725378256586191,-15.823275795374956,0.2836082931428492,0.0,0.0,9.22856050701452
4,2021-09-28 00:00:00,2022-09-27 00:00:00,2022-09-28 00:00:00,2022-12-27 00:00:00,252,0,1,0.0,-0.033372132361346306,-61.14085589396153,0.047468874790302845,0.0,0.0,3.3372132361338447
5,2021-12-28 00:00:00,2022-12-27 00:00:00,2022-12-28 00:00:00,2023-03-29 00:00:00,252,0,7,0.2857142857142857,-0.11736561751866247,-13.86943312747515,0.26123642710705103,0.5178977504264998,6.540944555607398,5.051919650333134
6,2022-03-29 00:00:00,2023-03-29 00:00:00,2023-03-30 00:00:00,2023-06-29 00:00:00,252,0,2,1.0,0.13180320004876192,-18.316765331099976,0.05265921081217855,0.0,6.36684452050719,0.0
7,2022-06-29 00:00:00,2023-06-29 00:00:00,2023-06-30 00:00:00,2023-09-28 00:00:00,252,0,4,0.5,-0.08149404292686085,-21.004829763864226,0.14953220666826142,0.3879201221612647,2.7221690099938396,7.017344175980099
8,2022-09-28 00:00:00,2023-09-28 00:00:00,2023-09-29 00:00:00,2023-12-28 00:00:00,252,0,3,1.0,0.21422004367401315,-16.55106058237957,0.12098565285769619,0.0,6.992680506460085,0.0
9,2022-12-28 00:00:00,2023-12-28 00:00:00,2023-12-29 00:00:00,2024-04-01 00:00:00,252,0,3,1.0,0.18298702984442572,-18.85978253712607,0.03461599274700348,0.0,5.952386284398202,0.0
10,2023-03-30 00:00:00,2024-04-01 00:00:00,2024-04-02 00:00:00,2024-07-01 00:00:00,252,0,3,0.6666666666666666,0.09419420752794394,-20.631061774403985,0.0997546411645123,2.4894773734563245,7.49766563544689,6.023485664412632
11,2023-06-30 00:00:00,2024-07-01 00:00:00,2024-07-02 00:00:00,2024-09-30 00:00:00,252,0,5,0.6,0.04728106305792608,-17.19055304642373,0.1251492082918386,1.3521389592884017,5.481632650432624,6.081068013879442
12,2023-09-29 00:00:00,2024-09-30 00:00:00,2024-10-01 00:00:00,2024-12-30 00:00:00,252,0,2,0.5,0.06400350948873892,-17.516829133370095,0.0752240119496996,5.78744453515299,7.206181169515254,1.2451404286891814
13,2023-12-29 00:00:00,2024-12-30 00:00:00,2024-12-31 00:00:00,2025-04-02 00:00:00,252,0,2,0.0,-0.10260900863624557,-14.636648926091011,0.21801207149517607,0.0,0.0,5.130450431812074
14,2024-04-02 00:00:00,2025-04-02 00:00:00,2025-04-03 00:00:00,2025-07-03 00:00:00,252,0,3,0.6666666666666666,-0.03469748157094727,-25.570391966694316,0.10414945719062543,0.5652850375326836,2.5436661697108267,8.999587821440462
15,2024-07-02 00:00:00,2025-07-03 00:00:00,2025-07-07 00:00:00,2025-10-02 00:00:00,252,0,2,0.5,0.0980671801912831,-24.68660722158733,0.04868005459104243,4.097847232114012,12.385471726345646,3.022433737715543
